"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","PFC","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF","2018","2018","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,212.244,,
"AUS","Australia","PFC","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF","2019","2019","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,273.502,,
"AUS","Australia","PFC","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF","2020","2020","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,243.116,,
"AUS","Australia","PFC","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF","2021","2021","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,291.483,,
"AUS","Australia","SF6","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF","2016","2016","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,120.721,,
"AUS","Australia","SF6","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF","2017","2017","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,118.899,,
"AUS","Australia","SF6","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF","2018","2018","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,149.725,,
"AUS","Australia","SF6","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF","2019","2019","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,141.064,,
"AUS","Australia","SF6","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF","2020","2020","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,108.871,,
"AUS","Australia","SF6","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF","2021","2021","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,162.361,,
"AUT","Austria","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2016","2016","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,79821.264,,
"AUT","Austria","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2017","2017","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,82132.492,,
"AUT","Austria","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2018","2018","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,78854.375,,
"AUT","Austria","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2019","2019","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,79994.138,,
"AUT","Austria","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2020","2020","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,73910.843,,
"AUT","Austria","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2021","2021","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,77532.351,,
"AUT","Austria","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2016","2016","IDX","Index","0","Units",,,100.979,,
"AUT","Austria","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2017","2017","IDX","Index","0","Units",,,103.903,,
"AUT","Austria","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2018","2018","IDX","Index","0","Units",,,99.756,,
"AUT","Austria","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2019","2019","IDX","Index","0","Units",,,101.198,,
"AUT","Austria","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2020","2020","IDX","Index","0","Units",,,93.502,,
"AUT","Austria","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2021","2021","IDX","Index","0","Units",,,98.084,,
"AUT","Austria","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2016","2016","KG_HAB","Kilograms per capita","3","Thousands",,,9.133,,
"AUT","Austria","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2017","2017","KG_HAB","Kilograms per capita","3","Thousands",,,9.338,,
"AUT","Austria","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2018","2018","KG_HAB","Kilograms per capita","3","Thousands",,,8.922,,
"AUT","Austria","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2019","2019","KG_HAB","Kilograms per capita","3","Thousands",,,9.011,,
