Year,COMPANY_NAME,Country,NUMBER_OF_EMPLOYEES,SCOPE_1,SCOPE_2,SCOPE 1+2,SCOPE 3,ENERGY_CONSUMPTION_TOTAL,TOTAL_WASTE_GENERATED,ISIC Division
2018,HSBC HOLDINGS (GB),UK,240578,26403.0,410597.0,437000.0,Not reported,1092000.0,23000.0,Financial and insurance activities
2019,HSBC HOLDINGS (GB),UK,240946,28025.0,385975.0,414000.0,Not reported,1049000.0,21000.0,Financial and insurance activities
2020,HSBC HOLDINGS (GB),UK,231040,25228.0,337772.0,363000.0,Not reported,928000.0,17000.0,Financial and insurance activities
2016,INTEL CORP,United States,106000,976000.0,644000.0,1620000.0,Not reported,6500000.0,177000.0,Information and communication
2017,INTEL CORP,United States,102700,1490000.0,970000.0,2460000.0,Not reported,7330000.0,183000.0,Information and communication
2018,INTEL CORP,United States,107400,1458000.0,1122000.0,2580000.0,Not reported,8340000.0,205000.0,Information and communication
2019,INTEL CORP,United States,110800,1489000.0,1301000.0,2790000.0,Not reported,9570000.0,387000.0,Information and communication
2020,INTEL CORP,United States,110600,1973000.0,909000.0,2882000.0,Not reported,10650000.0,414000.0,Information and communication
2021,INTEL CORP,United States,121100,2181000.0,1093000.0,3274000.0,Not reported,,344000.0,Information and communication
2016,JOHNSON&JOHNSON,United States,126400,463622.0,416612.0,880234.0,Not reported,3558610.0,125526.0,Human health and social work activities
2017,JOHNSON&JOHNSON,United States,134000,474497.0,396612.0,871109.0,Reported,3523610.0,137732.0,Human health and social work activities
2018,JOHNSON&JOHNSON,United States,135100,452407.0,305578.0,757985.0,Reported,3668890.0,141770.0,Human health and social work activities
2019,JOHNSON&JOHNSON,United States,132200,415094.0,264108.0,679202.0,Reported,3528330.0,141848.0,Human health and social work activities
2020,JOHNSON&JOHNSON,United States,136400,363924.0,229809.0,593733.0,Reported,3320556.0,129090.0,Human health and social work activities
2016,JPMORGAN CHASE & CO,United States,243355,79556.0,780710.0,860266.0,Not reported,2240399.0,,Financial and insurance activities
2017,JPMORGAN CHASE & CO,United States,252539,78229.0,596843.0,675072.0,Not reported,2124700.0,,Financial and insurance activities
2018,JPMORGAN CHASE & CO,United States,256105,83101.0,572067.0,655168.0,Not reported,2127810.0,,Financial and insurance activities
2019,JPMORGAN CHASE & CO,United States,256981,81655.0,556142.0,637797.0,Not reported,2082280.0,,Financial and insurance activities
2020,JPMORGAN CHASE & CO,United States,255351,69570.0,4187.0,73757.0,Not reported,1942728.0,,Financial and insurance activities
2021,JPMORGAN CHASE & CO,United States,271025,84911.0,785272.0,870183.0,Not reported,2437515.0,,Financial and insurance activities
2016,LVMH MOET HENNE,France,134476,62657.0,322972.0,385629.0,Not reported,1148570.0,80787.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,LVMH MOET HENNE,France,145247,87241.0,292070.0,379312.0,Not reported,1189280.0,78550.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,LVMH MOET HENNE,France,156088,96030.0,288092.0,384123.0,Not reported,1277080.0,99495.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,LVMH MOET HENNE,France,163309,69152.0,294810.03,363963.0,Not reported,1278600.0,95620.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2020,LVMH MOET HENNE,France,150479,63909.0,240421.0,304330.0,Not reported,1149660.0,80690.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,LVMH MOET HENNE,France,175647,71390.0,304349.4,375740.0,Not reported,1367340.0,113580.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,MICROSOFT CORP,United States,114000,94651.0,2139402.0,2234053.0,Not reported,,,Information and communication
2017,MICROSOFT CORP,United States,124000,107452.0,2697554.0,2805006.0,Not reported,6756779.0,23870.0,Information and communication
2018,MICROSOFT CORP,United States,131000,99008.0,2946043.0,3045051.0,Not reported,7781383.0,17661.0,Information and communication
2019,MICROSOFT CORP,United States,144000,117956.0,3557518.0,3675474.0,Not reported,9249361.0,31644.0,Information and communication
2020,MICROSOFT CORP,United States,163000,118100.0,4102445.0,4220545.0,Not reported,10757166.0,31101.0,Information and communication
2021,MICROSOFT CORP,United States,181000,123704.0,4745197.0,4868901.0,Not reported,13481863.0,20768.0,Information and communication
2016,NESTLE SA-REG,Switzerland,328221,3600000.0,3000000.0,6600000.0,Not reported,39472300.0,,Accommodation and food service activities
2017,NESTLE SA-REG,Switzerland,322887,3500000.0,3000000.0,6500000.0,Not reported,37750000.0,,Accommodation and food service activities
2018,NESTLE SA-REG,Switzerland,308301,3300000.0,2500000.0,5800000.0,Not reported,35472300.0,,Accommodation and food service activities
2019,NESTLE SA-REG,Switzerland,275628,3300000.0,2300000.0,5600000.0,Not reported,35361100.0,,Accommodation and food service activities
2020,NESTLE SA-REG,Switzerland,268350,3300000.0,1900000.0,5200000.0,Not reported,,,Accommodation and food service activities
2021,NESTLE SA-REG,Switzerland,257031,3370000.0,2640193.0,6010193.0,Not reported,,1568228.0,Accommodation and food service activities
2019,Petrochina,China,460700,132170000.0,41910000.0,174080000.0,Not reported,708511230.0,,Mining and quarrying
2020,Petrochina,China,432003,127570000.0,39870000.0,167440000.0,Not reported,720478500.0,,Mining and quarrying
2021,Petrochina,China,417200,121390000.0,38150000.0,159540000.0,Not reported,,2603000.0,Mining and quarrying
2016,PFIZER,United States,96500,940953.0,1106920.0,2047873.0,Not reported,,,Human health and social work activities
2017,PFIZER,United States,90200,788838.0,859691.0,1648529.0,Not reported,,164000.0,Human health and social work activities
2018,PFIZER,United States,92400,756964.0,919786.0,1676750.0,Not reported,5658241.0,161400.0,Human health and social work activities
2019,PFIZER,United States,88300,697313.0,605271.0,1302584.0,Not reported,,41200.0,Human health and social work activities
2020,PFIZER,United States,78500,654460.0,551577.0,1206037.0,Not reported,4499278.0,168100.0,Human health and social work activities
2021,PFIZER,United States,79000,662438.0,1339701.0,1172000.0,Not reported,,40100.0,Human health and social work activities
2021,PING AN INS A (HK-C),China,355982,6121.76,376336.09,382457.85,Not reported,,210773.0,Financial and insurance activities
2017,PING AN INS A (HK-C),China,342600,3774.0,123860.0,127634.0,Not reported,,9186.0,Financial and insurance activities
2018,PING AN INS A (HK-C),China,376900,3774.0,123860.0,127634.0,Not reported,,8957.0,Financial and insurance activities
2019,PING AN INS A (HK-C),China,376900,7156.0,720605.0,727761.0,Not reported,,309631.0,Financial and insurance activities
2020,PING AN INS A (HK-C),China,361600,2114.51,478287.47,480401.98,Not reported,,331125.0,Financial and insurance activities
2021,PJSC Gazprom,Russia,479200,119870000.0,4700000.0,124570000.0,Not reported,,290760.0,Mining and quarrying
2016,PJSC Gazprom,Russia,467400,101240000.0,4508363.0,105748363.0,Not reported,,273650.0,Mining and quarrying
2017,PJSC Gazprom,Russia,469600,113170000.0,5540559.0,118710559.0,Not reported,,260700.0,Mining and quarrying
2018,PJSC Gazprom,Russia,466100,120090000.0,8210000.0,128300000.0,Not reported,,285900.0,Mining and quarrying
2019,PJSC Gazprom,Russia,473800,117090000.0,6080000.0,123170000.0,Not reported,,264240.0,Mining and quarrying
2020,PJSC Gazprom,Russia,477600,100970000.0,4770000.0,105740000.0,Not reported,,272240.0,Mining and quarrying
2016,PROCTER & GAMBLE,United States,105000,2133000.0,2770000.0,4903000.0,Not reported,16389020.0,640000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,PROCTER & GAMBLE,United States,95000,2122000.0,2437000.0,4559000.0,Not reported,16666800.0,632000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,PROCTER & GAMBLE,United States,92000,2143000.0,1910000.0,4053000.0,Not reported,16944580.0,624000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,PROCTER & GAMBLE,United States,97000,2210000.0,1840000.0,4050000.0,Not reported,16944580.0,655000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,PROCTER & GAMBLE,United States,101000,2242000.0,156000.0,2398000.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2015,Puma,Germany,11351,7296000.0,35591000.0,42887000.0,Reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,Puma,Germany,11495,6854000.0,37300000.0,44154000.0,Reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,Puma,Germany,11787,7678000.0,40029000.0,47707000.0,Reported,235140995.0,5293.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,Puma,Germany,12894,6918000.0,43366000.0,50284000.0,Reported,,4877.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,Puma,Germany,14332,6326000.0,40986000.0,47312000.0,Reported,256254687.0,3644.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2020,Puma,Germany,13016,4176000.0,29839000.0,34015000.0,Reported,339404126.0,3949.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,Puma,Germany,14846,4046000.0,32545000.0,36591000.0,Reported,,5215.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,Reliance Industries,India,24121,22446185.0,673289.0,23119474.0,Not reported,,,Mining and quarrying
2017,Reliance Industries,India,24167,24437399.0,733017.0,25170416.0,Not reported,,,Mining and quarrying
2018,Reliance Industries,India,29533,31500000.0,820000.0,32320000.0,Not reported,,909990.0,Mining and quarrying
2019,Reliance Industries,India,28967,29360000.0,1140000.0,30500000.0,Not reported,,798600.0,Mining and quarrying
2020,Reliance Industries,India,26488,47500000.0,1450000.0,48950000.0,Not reported,,606600.0,Mining and quarrying
2022,Reliance Industries,India,342982,43960000.0,1190000.0,45150000.0,Not reported,,,Mining and quarrying
2021,Reliance Industries,India,236334,44670000.0,1250000.0,45920000.0,Not reported,,,Mining and quarrying
2016,Samsung Electronics Co,South Korea,277000,2554000.0,9556000.0,12110000.0,Not reported,21073000.0,1078310.0,Manufacturing
2017,Samsung Electronics Co,South Korea,282000,3704500.0,9405500.0,13110000.0,Not reported,23419000.0,1146810.0,Manufacturing
